RA_ITEMID	ADVNUM	PARCEL	FACEVALUE	BID
6412080	010030	1137159215	657.5	
6412081	010031	1137159236	646.06	
6412082	010032	1137159238	649.46	
6412083	010033	1137159239	662.12	
6412084	010034	1137159240	761.32	
6412085	010035	1137159303	672.16	
6412086	010036	1137159313	661.8	
6412089	010039	1137162901	743.61	
6412090	010040	1137162902	738.76	
6412091	010041	1137162912	661.8	
6412092	010042	1137162915	653.68	
6412093	010043	1137163002	650.81	
6412095	010045	1137163111	738.76	
6412096	010046	1137163112	859.27	
6412097	010047	1137163125	650.81	
6412098	010048	1137163126	653.68	
6412099	010049	1137163203	659.1	
6412100	010050	1137163205	738.76	
6412101	010051	1137163206	665.04	
6412102	010052	1137163209	738.76	
6412104	010054	1137163214	672.83	
6412105	010055	1137163220	661.8	
6412106	010056	1137163223	650.81	
6412107	010057	1137163315	771	
6412108	010058	1137163322	677.41	
6412109	010059	1137163912	653.5	
6412111	010061	1137164015	742	
6412113	010063	1137164121	661.8	
6412114	010064	1137164209	661.8	
6412116	010066	1137164311	650.81	
6412117	010067	1137164408	733.96	
6412119	010069	1137174001	742	
6412121	010071	1137174216	709.82	
6412122	010072	1137174310	6266.19	
6412125	010075	1138072478	830.32	
6412126	010076	1138076001	626.1	
6412127	010077	1138076204	1039.51	
6412128	010078	1138076207	693.72	
6412131	010081	1138076327	625.73	
6412132	010082	1138076420	632.06	
6412133	010083	1138076428	2805.19	
6412134	010084	1138076431	724.21	
6412135	010085	1138076507	693.72	
6412136	010086	1138076509	693.72	
6412137	010087	1138076524	701.76	
6412138	010088	1138076602	693.72	
6412139	010089	1138076605	961.5	
6412140	010090	1138076607	961.5	
6412142	010092	1138076725	689.61	
6412144	010094	1138076823	625.73	
6412145	010095	1138077019	625.73	
6412146	010096	1138077115	693.72	
6412147	010097	1138077121	632.06	
